[Wed Jan 13 00:00:01.551195 2016] [mpm_prefork:notice] [pid 4103] AH00171: Graceful restart requested, doing restart
[Wed Jan 13 00:00:01.757835 2016] [mpm_prefork:notice] [pid 4103] AH00163: Apache/2.4.16 (Unix) configured -- resuming normal operations
[Wed Jan 13 00:00:01.758072 2016] [core:notice] [pid 4103] AH00094: Command line: '/export/home/apache2/bin/httpd'
[Wed Jan 13 00:00:01.758142 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 27467)
[Wed Jan 13 00:00:01.758213 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 27468)
[Wed Jan 13 00:00:01.758263 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 27469)
[Wed Jan 13 00:00:01.758311 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 27470)
[Wed Jan 13 00:00:01.758375 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 27471)
[Wed Jan 13 00:00:01.758422 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 27472)
[Wed Jan 13 00:00:01.758468 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 27473)
[Wed Jan 13 00:00:01.758555 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 27474)
[Wed Jan 13 00:00:01.758601 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 27475)
[Wed Jan 13 00:00:01.758704 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 27476)
[Wed Jan 13 00:00:01.758755 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 27477)
[Wed Jan 13 00:00:01.758822 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 27478)
[Wed Jan 13 00:00:01.758867 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 27479)
[Wed Jan 13 00:00:01.758911 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 27480)
