[Thu Jan 14 18:20:01.765918 2016] [mpm_prefork:notice] [pid 4103] AH00171: Graceful restart requested, doing restart
[Thu Jan 14 18:20:01.968576 2016] [mpm_prefork:notice] [pid 4103] AH00163: Apache/2.4.16 (Unix) configured -- resuming normal operations
[Thu Jan 14 18:20:01.968620 2016] [core:notice] [pid 4103] AH00094: Command line: '/export/home/apache2/bin/httpd'
[Thu Jan 14 18:20:01.968671 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21674)
[Thu Jan 14 18:20:01.968692 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21675)
[Thu Jan 14 18:20:01.968712 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21676)
[Thu Jan 14 18:20:01.968730 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21677)
[Thu Jan 14 18:20:01.968749 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21678)
[Thu Jan 14 18:20:01.968767 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21679)
[Thu Jan 14 18:20:01.968785 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21680)
[Thu Jan 14 18:20:01.968804 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21681)
[Thu Jan 14 18:20:01.968823 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21682)
[Thu Jan 14 18:20:01.968841 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21683)
[Thu Jan 14 18:20:01.968860 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21684)
[Thu Jan 14 18:20:01.968901 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21685)
[Thu Jan 14 18:20:01.968944 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21686)
[Thu Jan 14 18:20:01.968982 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21687)
[Thu Jan 14 18:20:01.969021 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21688)
[Thu Jan 14 18:20:01.969059 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21689)
[Thu Jan 14 18:20:01.969097 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21690)
[Thu Jan 14 18:20:01.969134 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21691)
[Thu Jan 14 18:20:01.969226 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21692)
[Thu Jan 14 18:20:01.969270 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21693)
[Thu Jan 14 18:20:01.969290 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21694)
[Thu Jan 14 18:20:01.969356 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21695)
[Thu Jan 14 18:20:01.969397 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21696)
[Thu Jan 14 18:20:01.969418 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21697)
[Thu Jan 14 18:20:01.969437 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21698)
[Thu Jan 14 18:20:01.969456 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21699)
[Thu Jan 14 18:20:01.969499 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21700)
[Thu Jan 14 18:20:01.969518 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21701)
[Thu Jan 14 18:20:01.969537 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21702)
[Thu Jan 14 18:20:01.969556 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21703)
[Thu Jan 14 18:20:01.969592 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21704)
[Thu Jan 14 18:20:01.969629 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21705)
[Thu Jan 14 18:20:01.969665 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21706)
[Thu Jan 14 18:20:01.969713 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21707)
[Thu Jan 14 18:20:01.969755 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21708)
[Thu Jan 14 18:20:01.969775 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21709)
[Thu Jan 14 18:20:01.969793 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21710)
[Thu Jan 14 18:20:01.969830 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21711)
[Thu Jan 14 18:20:01.969867 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21712)
[Thu Jan 14 18:20:01.969903 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21713)
[Thu Jan 14 18:20:01.969941 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21714)
[Thu Jan 14 18:20:01.969978 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21715)
[Thu Jan 14 18:20:01.970015 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21716)
[Thu Jan 14 18:20:01.970053 2016] [mpm_prefork:warn] [pid 4103] AH00167: long lost child came home! (pid 21717)
